"pheno"	"rcoef"	"CI1"	"CI2"	"p_value"	"se"
"lymphocyte_count"	-0.0583268014816672	-0.061827338617173	-0.0548262643461615	1.55686295722389e-233	0.00178601423189808
"MCH"	-0.0540031553043084	-0.0575040642619951	-0.0505022463466217	1.67938796681271e-200	0.00178620394097326
"total_protein"	-0.0438949518906739	-0.0475786942399744	-0.0402112095413734	1.60596393319404e-120	0.00187948685747244
"WBC_count"	-0.0416659161346803	-0.0451664483234319	-0.0381653839459287	2.85305563141938e-120	0.00178601172030575
"monocyte_count"	-0.0398195171838754	-0.0433244751522266	-0.0363145592155243	9.39212977785065e-110	0.00178826978721459
"eosinophil_count"	-0.0351117233812605	-0.0386204629466352	-0.0316029838158858	1.3411662763444e-85	0.00179019918821051
"cystatinC"	-0.0331420606601066	-0.0366767271794575	-0.0296073941407558	2.19349728741789e-75	0.00180342731198926
"smoking_status"	-0.032466995471428	-0.0359255574406429	-0.0290084335022132	1.46147300479882e-75	0.0017645981995058
"BMI"	-0.0324265149929605	-0.0358858263884931	-0.0289672035974279	2.39980820946948e-75	0.00176498056204806
"DiseaseBurden"	-0.029537566694459	-0.0329907103863248	-0.0260844230025931	4.66157367869022e-63	0.00176183375489017
"body_fat_mass"	-0.0292230440332224	-0.0327090420393843	-0.0257370460270604	1.22831040160721e-60	0.00177859627362753
"alcool_weekly"	-0.0288635218118333	-0.0329240760203591	-0.0248029676033075	4.21611209702651e-44	0.00207173860229153
"urate"	-0.0252096290824694	-0.0287436765274442	-0.0216755816374946	2.09562862884208e-44	0.00180311146243544
"COPD"	-0.0250366937973081	-0.0287542483836662	-0.0213191392109499	9.03518268022635e-40	0.00189673810555077
"CRP"	-0.0240673685701909	-0.0276147911080694	-0.0205199460323123	2.46074077639605e-40	0.00180993553094557
"IHD"	-0.0239299612828704	-0.0274314345049663	-0.0204284880607745	6.64282414661181e-41	0.00178649184572778
"waist_cir"	-0.0234622207815356	-0.0269186809042993	-0.0200057606587719	2.2441698732429e-40	0.00176352582505513
"avg_heart_rate"	-0.0234166722071369	-0.0581940109899668	0.011360666575693	0.186860822313418	0.0177371232571669
"nb_cigarette_day"	-0.0233169955629889	-0.0365678769919394	-0.0100661141340384	0.000563602582270707	0.00676041077407918
"AST"	-0.0231607137783535	-0.0267057022254612	-0.0196157253312458	1.56749434072201e-37	0.00180869364272759
