exposure	outcome	method	nsnp	b	se	pval	Q	Q_pval
TELOMERE	LOAD_consortium	Inverse variance weighted	324	-0.0371863737737158	0.0097163360967062	0.000129608537733352	520.457612075984	1.91416363631732e-11
TELOMERE	LOAD_consortium	MR Egger	324	-0.0477549785231486	0.0221626419077866	0.031922514066109	520.00275954325	1.63637078996154e-11
TELOMERE	LOAD_consortium	Simple mode	324	-0.0624190935719002	0.033167819101617	0.060746194651634		
TELOMERE	LOAD_consortium	Weighted median	324	-0.0554672372593863	0.0136545729370616	4.86180282752958e-05		
TELOMERE	LOAD_consortium	Weighted mode	324	-0.0578492329732283	0.0162080650686837	0.000412462954106542		
TELOMERE	AGEDEATH	Inverse variance weighted	313	-0.00787911341107362	0.0421733862381025	0.851796533620634	343.117497635534	0.10878517023231
TELOMERE	AGEDEATH	MR Egger	313	-0.0329183469993139	0.0951245403472289	0.729535176651994	343.022310817303	0.102239594954569
TELOMERE	AGEDEATH	Simple mode	313	-0.101320971211552	0.168380851625057	0.547786276144594		
TELOMERE	AGEDEATH	Weighted median	313	-0.030152224445091	0.0680836504367883	0.657859574745067		
TELOMERE	AGEDEATH	Weighted mode	313	-0.0705470061363012	0.0863756055999001	0.414696280310534		
TELOMERE	ENDEDU	Inverse variance weighted	313	0.00105389676984264	0.0116758286771704	0.928078123404376	604.111487931474	7.27252030125794e-21
TELOMERE	ENDEDU	MR Egger	313	-0.0477716906998694	0.0261909032586844	0.0691145988079111	595.823663610885	3.9327160367437e-20
TELOMERE	ENDEDU	Simple mode	313	0.0328340019735762	0.0370347602145248	0.375991925359907		
TELOMERE	ENDEDU	Weighted median	313	-0.0143701430965601	0.0151060475476464	0.341460167720248		
TELOMERE	ENDEDU	Weighted mode	313	-0.0188946584181091	0.018471176191195	0.307134999700739		
TELOMERE	AGEFIRSTB	Inverse variance weighted	311	0.0260324327633169	0.0135125248322832	0.0540368606874802	439.563822394395	1.72472364283419e-06
TELOMERE	AGEFIRSTB	MR Egger	311	0.0217669677430866	0.030484032059825	0.475738424959875	439.52913607154	1.44253518674597e-06
TELOMERE	AGEFIRSTB	Simple mode	311	-0.0266657455354227	0.0598879773689068	0.656442331902389		
TELOMERE	AGEFIRSTB	Weighted median	311	0.0127146475419417	0.0213086044110908	0.550713857104752		
TELOMERE	AGEFIRSTB	Weighted mode	311	-0.00410248980394679	0.0276065101169798	0.881961250804386		
TELOMERE	AGEGLASS	Inverse variance weighted	314	0.00739340155531591	0.00870541475684652	0.395721231127124	436.051335831563	5.02508134336149e-06
TELOMERE	AGEGLASS	MR Egger	314	-0.00299695319362409	0.019647646203351	0.878863603051181	435.565292462098	4.53384528877475e-06
TELOMERE	AGEGLASS	Simple mode	314	0.0186266536955459	0.0360598425804488	0.605836207176765		
TELOMERE	AGEGLASS	Weighted median	314	-0.00632176477700829	0.0131136941971331	0.629753716969353		
TELOMERE	AGEGLASS	Weighted mode	314	-0.00932057424390631	0.0167116648610063	0.577428357458728		
TELOMERE	AGELASTB	Inverse variance weighted	311	0.0206759680010132	0.0127941008877392	0.106082468120454	393.525152544321	0.00090616291912977
TELOMERE	AGELASTB	MR Egger	311	0.0349759821417147	0.028850137046161	0.226310935264549	393.135836368141	0.000831439114210556
TELOMERE	AGELASTB	Simple mode	311	0.0187865443703603	0.0444076173149668	0.672553715114803		
TELOMERE	AGELASTB	Weighted median	311	0.0123279137102828	0.0187316424524151	0.510452615337855		
TELOMERE	AGELASTB	Weighted mode	311	0.0322566245329161	0.0237737779426623	0.175827088840921		
TELOMERE	AKI	Inverse variance weighted	337	-0.0105416617215316	0.0230424738725317	0.647320124896081	340.841531678689	0.41622253610494
TELOMERE	AKI	MR Egger	337	0.0139550643905956	0.0532871747330915	0.793571738933637	340.577129691289	0.405164021724189
TELOMERE	AKI	Simple mode	337	-0.0136139181837678	0.0928906961623841	0.88356842944577		
TELOMERE	AKI	Weighted median	337	-0.00891165705227191	0.0395116270664477	0.821555181841059		
TELOMERE	AKI	Weighted mode	337	-0.00504677335720327	0.059250104731049	0.932171040878632		
TELOMERE	ALB	Inverse variance weighted	311	0.0502877851277056	0.0128487683341601	9.08468219373473e-05	949.124070789712	5.36114840857312e-66
TELOMERE	ALB	MR Egger	311	0.0575963953558957	0.0289678440225278	0.0476619309395032	948.880541806096	3.31420049263791e-66
TELOMERE	ALB	Simple mode	311	-0.0434220983118447	0.0369629846429367	0.240998134605586		
TELOMERE	ALB	Weighted median	311	0.0175280866525564	0.0138886721900107	0.206933699034769		
TELOMERE	ALB	Weighted mode	311	-0.0116576932417152	0.0234054022625829	0.618782909212082		
TELOMERE	ALCOOLF	Inverse variance weighted	314	0.00286978777504087	0.0108047539592115	0.790544068906679	779.142113347954	1.23373554963738e-41
TELOMERE	ALCOOLF	MR Egger	314	0.0150017904034699	0.0243873046074253	0.538905694731893	778.373500761519	9.8167620658407e-42
