exposure	outcome	method	nsnp	b	se	pval	Q	Q_pval
LOAD_consortium	TELOMERE	Inverse variance weighted	106	0.0140075664296914	0.0130987046682253	0.284895943678944	263.027563501126	1.50026202285884e-15
LOAD_consortium	TELOMERE	MR Egger	106	0.109823024625594	0.0317935338689888	0.000799686731623696	238.382050001316	1.48515395949336e-12
LOAD_consortium	TELOMERE	Simple mode	106	0.00981769372448305	0.0299392442837125	0.743624704097792		
LOAD_consortium	TELOMERE	Weighted median	106	0.0215330795400123	0.0133962877522159	0.107968505732773		
LOAD_consortium	TELOMERE	Weighted mode	106	0.0191528540013363	0.019254410959547	0.322156626774453		
AGEDEATH	TELOMERE	Wald ratio	1	0.0505908379282128	0.0260722524496895	0.0523299821493668		
ENDEDU	TELOMERE	Inverse variance weighted	49	0.0799623053174315	0.0433515237734351	0.0651088961645411	333.543314310183	2.14921731201377e-44
ENDEDU	TELOMERE	MR Egger	49	0.549539695947589	0.433004695942837	0.210643376068996	325.320864854525	2.79390740580763e-43
ENDEDU	TELOMERE	Simple mode	49	0.019942679238186	0.0660853949855474	0.764129988155451		
ENDEDU	TELOMERE	Weighted median	49	0.0666937217983595	0.0286928686036362	0.0201040319497815		
ENDEDU	TELOMERE	Weighted mode	49	0.019942679238186	0.0564515136774967	0.72543216726522		
AGEFIRSTB	TELOMERE	Inverse variance weighted	22	0.166997723446987	0.0381347333861505	1.19143023815087e-05	97.1213502458808	9.28408632915624e-12
AGEFIRSTB	TELOMERE	MR Egger	22	0.868313130214979	0.256820619741934	0.00296849396787972	70.417700916853	1.55645803489352e-07
AGEFIRSTB	TELOMERE	Simple mode	22	0.180896405702866	0.0615036404549763	0.00779973994303953		
AGEFIRSTB	TELOMERE	Weighted median	22	0.131407248343565	0.0315757658096143	3.15957993663916e-05		
AGEFIRSTB	TELOMERE	Weighted mode	22	0.154820916779212	0.0622694552272477	0.0214015596675404		
AGEGLASS	TELOMERE	Inverse variance weighted	66	-0.00443738923804399	0.0161509090213643	0.78351178786265	89.2780740660647	0.0245832825362048
AGEGLASS	TELOMERE	MR Egger	66	0.0788578897705605	0.0543584896454639	0.151747047593329	85.8320111063967	0.0356827456547041
AGEGLASS	TELOMERE	Simple mode	66	0.000223324551009818	0.0475946541630473	0.99627053582348		
AGEGLASS	TELOMERE	Weighted median	66	0.0171106679539244	0.0224767024601707	0.446500367313811		
AGEGLASS	TELOMERE	Weighted mode	66	0.0199349021313462	0.0328280805183801	0.545799560707806		
AGELASTB	TELOMERE	Inverse variance weighted	9	0.27240720730313	0.0602261514912873	6.09485537863482e-06	37.2720146611717	1.02558813787084e-05
AGELASTB	TELOMERE	MR Egger	9	1.19431102123348	0.221203538977174	0.00100940355938367	10.5224059881079	0.160850620133554
AGELASTB	TELOMERE	Simple mode	9	0.139725069959336	0.105867822004955	0.22341414885385		
AGELASTB	TELOMERE	Weighted median	9	0.229539704059014	0.0561549899796408	4.3583985384045e-05		
AGELASTB	TELOMERE	Weighted mode	9	0.137542778533846	0.120096114556176	0.285199950351601		
ALB	TELOMERE	Inverse variance weighted	388	0.00938103844684331	0.00881579302543245	0.287275535138124	1275.98162390209	2.05931618442417e-95
ALB	TELOMERE	MR Egger	388	-0.0192261947098716	0.0227349498708232	0.398262496260656	1269.85354152756	9.62699788675952e-95
ALB	TELOMERE	Simple mode	388	-0.0485246081725699	0.0201101781352988	0.0162885529960078		
ALB	TELOMERE	Weighted median	388	-0.0244590517811212	0.0081974144643531	0.00284737458412204		
ALB	TELOMERE	Weighted mode	388	-0.0223063311133453	0.013783918160546	0.106415508292079		
ALCOOLF	TELOMERE	Inverse variance weighted	90	0.0536661153205772	0.0236188503017039	0.0230760598512478	315.598101364896	4.20045272722043e-27
